Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Date	Party	Year	URL	Matchbegin corpus position	Matchend corpus position
153	c_1045151	alongside the other work of capacity building , the engagement of women , community development , and the provision of	water and sanitation	, health care and education . Conflict resolution and peacebuilding should be part of the whole package . I refer	alongside_IN the_DT other_JJ work_NN of_IN capacity_NN building_NN ,_, the_DT engagement_NN of_IN women_NNS ,_, community_NN development_NN ,_, and_CC the_DT provision_NN of_IN	water_NN and_CC sanitation_NN	,_, health_NN care_NN and_CC education_NN ._. Conflict_NN resolution_NN and_CC peacebuilding_NN should_MD be_VB part_NN of_IN the_DT whole_JJ package_NN ._. I_PRP refer_VBP	2007-03-22	lab	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=152	228759084	228759086
154	c_1046125	measures his Department is taking to provide clean drinking water in developing countries . We will double our investment in	water and sanitation	in Africa , where the millennium development goal is most off - track , to Â £95 million a year	measures_NNS his_PRP$ Department_NNP is_VBZ taking_VBG to_TO provide_VB clean_JJ drinking_NN water_NN in_IN developing_VBG countries_NNS ._. We_PRP will_MD double_VB our_PRP$ investment_NN in_IN	water_NN and_CC sanitation_NN	in_IN Africa_NNP ,_, where_WRB the_DT millennium_NN development_NN goal_NN is_VBZ most_RBS off_IN -_HYPH track_NN ,_, to_IN Â_$ £95_CD million_CD a_DT year_NN	2007-03-28	lab	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=153	229031285	229031287
155	c_1046125	to Â£200 million a year by 2010 - 11 . The Department for International Development global call to action on	water and sanitation	is pushing for more investment , for money to be better spent and for the right structures to be put	to_IN Â£200_CD million_CD a_DT year_NN by_IN 2010_CD -_SYM 11_CD ._. The_DT Department_NNP for_IN International_NNP Development_NNP global_JJ call_NN to_TO action_VB on_IN	water_NN and_CC sanitation_NN	is_VBZ pushing_VBG for_IN more_JJR investment_NN ,_, for_IN money_NN to_TO be_VB better_RBR spent_VBN and_CC for_IN the_DT right_JJ structures_NNS to_TO be_VB put_VBN	2007-03-28	lab	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=154	229031340	229031342
156	c_1046127	members of the Auchterarder parish church on the efforts that they are making . In the fight to bring clean	water and sanitation	to more of our fellow human beings , we need all the help we can get . As the Secretary	members_NNS of_IN the_DT Auchterarder_NNP parish_NN church_NN on_IN the_DT efforts_NNS that_WDT they_PRP are_VBP making_VBG ._. In_IN the_DT fight_NN to_TO bring_VB clean_JJ	water_NN and_CC sanitation_NN	to_IN more_JJR of_IN our_PRP$ fellow_JJ human_JJ beings_NNS ,_, we_PRP need_VBP all_PDT the_DT help_NN we_PRP can_MD get_VB ._. As_IN the_DT Secretary_NNP	2007-03-28	lab	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=155	229031550	229031552
157	c_1046128	the Secretary of State will know , the Select Committee on International Development is about to publish a report on	water and sanitation	. Sanitation itself is often under - valued . It is key to achieving many of the millennium development goals	the_DT Secretary_NNP of_IN State_NNP will_MD know_VB ,_, the_DT Select_NNP Committee_NNP on_IN International_NNP Development_NNP is_VBZ about_JJ to_TO publish_VB a_DT report_NN on_IN	water_NN and_CC sanitation_NN	._. Sanitation_NN itself_PRP is_VBZ often_RB under_IN -_HYPH valued_VBN ._. It_PRP is_VBZ key_JJ to_IN achieving_VBG many_JJ of_IN the_DT millennium_NN development_NN goals_NNS	2007-03-28	libdem	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=156	229031591	229031593
158	c_1046128	ensure that his Department money goes to training and educating people in developing countries to enable them to deliver appropriately	water and sanitation	and to enable the millennium development goals to be achieved ? I accept the right hon . Gentleman point .	ensure_VB that_IN his_PRP$ Department_NNP money_NN goes_VBZ to_IN training_NN and_CC educating_VBG people_NNS in_IN developing_VBG countries_NNS to_TO enable_VB them_PRP to_TO deliver_VB appropriately_RB	water_NN and_CC sanitation_NN	and_CC to_TO enable_VB the_DT millennium_NN development_NN goals_NNS to_TO be_VB achieved_VBN ?_. I_PRP accept_VBP the_DT right_JJ hon_NN ._. Gentleman_NNP point_NN ._.	2007-03-28	libdem	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=157	229031639	229031641
159	c_1046130	I ask my right hon . Friend to recognise the role of women in African villages in the management of	water and sanitation	projects ? Will he in particular commend the health extension workers scheme , which the Select Committee saw in Ethiopia	I_PRP ask_VB my_PRP$ right_JJ hon_NN ._. Friend_NN to_TO recognise_VB the_DT role_NN of_IN women_NNS in_IN African_JJ villages_NNS in_IN the_DT management_NN of_IN	water_NN and_CC sanitation_NN	projects_NNS ?_. Will_MD he_PRP in_IN particular_JJ commend_VB the_DT health_NN extension_NN workers_NNS scheme_NN ,_, which_WDT the_DT Select_NNP Committee_NNP saw_VBD in_IN Ethiopia_NNP	2007-03-28	lab	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=158	229031841	229031843
160	c_1046131	this is why Governments in some developing countries have not got the message more loudly about the importance of clean	water and sanitation	. In my experience , as she says , it is women in villages and elsewhere who are most concerned	this_DT is_VBZ why_WRB Governments_NNS in_IN some_DT developing_NN countries_NNS have_VBP not_RB got_VBN the_DT message_NN more_RBR loudly_RB about_IN the_DT importance_NN of_IN clean_JJ	water_NN and_CC sanitation_NN	._. In_IN my_PRP$ experience_NN ,_, as_IN she_PRP says_VBZ ,_, it_PRP is_VBZ women_NNS in_IN villages_NNS and_CC elsewhere_RB who_WP are_VBP most_RBS concerned_JJ	2007-03-28	lab	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=159	229031935	229031937
161	c_1046134	and I thank him for his response on water privatisation in particular . What have his Department budgets been for	water and sanitation	over the past five years ? We have just published a further report looking at the total effect of our	and_CC I_PRP thank_VBP him_PRP for_IN his_PRP$ response_NN on_IN water_NN privatisation_NN in_IN particular_JJ ._. What_WP have_VBP his_PRP$ Department_NNP budgets_NNS been_VBN for_IN	water_NN and_CC sanitation_NN	over_IN the_DT past_JJ five_CD years_NNS ?_. We_PRP have_VBP just_RB published_VBN a_DT further_JJ report_NN looking_VBG at_IN the_DT total_JJ effect_NN of_IN our_PRP$	2007-03-28	lab	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=160	229032372	229032374
162	c_1046135	past five years ? We have just published a further report looking at the total effect of our investment in	water and sanitation	, and in the last year for which the figures are available we spent bilaterally and multilaterally Â £ 242	past_JJ five_CD years_NNS ?_. We_PRP have_VBP just_RB published_VBN a_DT further_JJ report_NN looking_VBG at_IN the_DT total_JJ effect_NN of_IN our_PRP$ investment_NN in_IN	water_NN and_CC sanitation_NN	,_, and_CC in_IN the_DT last_JJ year_NN for_IN which_WDT the_DT figures_NNS are_VBP available_JJ we_PRP spent_VBD bilaterally_RB and_CC multilaterally_RB Â_$ £_$ 242_CD	2007-03-28	lab	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=161	229032397	229032399
163	c_1046135	figures are available we spent bilaterally and multilaterally Â £ 242 million . I have a lot of correspondence about	water and sanitation	, which I greatly welcome . When it comes to public , private or community - led provision , I	figures_NNS are_VBP available_JJ we_PRP spent_VBD bilaterally_RB and_CC multilaterally_RB Â_$ £_$ 242_CD million_CD ._. I_PRP have_VBP a_DT lot_NN of_IN correspondence_NN about_IN	water_NN and_CC sanitation_NN	,_, which_WDT I_PRP greatly_RB welcome_VBP ._. When_WRB it_PRP comes_VBZ to_IN public_JJ ,_, private_JJ or_CC community_NN -_HYPH led_VBN provision_NN ,_, I_PRP	2007-03-28	lab	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=162	229032429	229032431
164	c_1046139	to be able to spend it . Apart from rural areas , the big challenge will be to provide clean	water and sanitation	to the growing cities and towns of the developing world , because in the next 50 years , first in	to_TO be_VB able_JJ to_TO spend_VB it_PRP ._. Apart_RB from_IN rural_JJ areas_NNS ,_, the_DT big_JJ challenge_NN will_MD be_VB to_TO provide_VB clean_JJ	water_NN and_CC sanitation_NN	to_IN the_DT growing_VBG cities_NNS and_CC towns_NNS of_IN the_DT developing_NN world_NN ,_, because_IN in_IN the_DT next_JJ 50_CD years_NNS ,_, first_RB in_IN	2007-03-28	lab	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=163	229032925	229032927
165	c_1046139	of getting more funding to local authorities in developing countries to make the investment and to regulate the provision of	water and sanitation	, because it is on them that the burden of dealing with the problem will fall . I have recently	of_IN getting_VBG more_JJR funding_NN to_IN local_JJ authorities_NNS in_IN developing_VBG countries_NNS to_TO make_VB the_DT investment_NN and_CC to_TO regulate_VB the_DT provision_NN of_IN	water_NN and_CC sanitation_NN	,_, because_IN it_PRP is_VBZ on_IN them_PRP that_IN the_DT burden_NN of_IN dealing_VBG with_IN the_DT problem_NN will_MD fall_VB ._. I_PRP have_VBP recently_RB	2007-03-28	lab	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=164	229033014	229033016
166	c_1046140	with the problem will fall . I have recently observed in Bangladesh that it is possible to make progress on	water and sanitation	with , for example , microcredit schemes , enabling the manufacture of sanitation facilities in small , rural communities .	with_IN the_DT problem_NN will_MD fall_VB ._. I_PRP have_VBP recently_RB observed_VBN in_IN Bangladesh_NNP that_IN it_PRP is_VBZ possible_JJ to_TO make_VB progress_NN on_IN	water_NN and_CC sanitation_NN	with_IN ,_, for_IN example_NN ,_, microcredit_NN schemes_NNS ,_, enabling_VBG the_DT manufacture_NN of_IN sanitation_NN facilities_NNS in_IN small_JJ ,_, rural_JJ communities_NNS ._.	2007-03-28	con	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=165	229033048	229033050
167	c_1046140	West Devon ( Mr. Streeter ) rightly pointed out , the UN has 23 unco - ordinated agencies working on	water and sanitation	, and the EU water initiative has been excruciatingly slow and mired in bureaucracy . For the sake of the	West_NNP Devon_NNP (_-LRB- Mr._NNP Streeter_NNP )_-RRB- rightly_RB pointed_VBD out_RP ,_, the_DT UN_NNP has_VBZ 23_CD unco_NN -_HYPH ordinated_VBN agencies_NNS working_VBG on_IN	water_NN and_CC sanitation_NN	,_, and_CC the_DT EU_NNP water_NN initiative_NN has_VBZ been_VBN excruciatingly_RB slow_JJ and_CC mired_VBN in_IN bureaucracy_NN ._. For_IN the_DT sake_NN of_IN the_DT	2007-03-28	con	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=166	229033124	229033126
168	c_1046140	slow and mired in bureaucracy . For the sake of the 2.6 billion people who do not have access to	water and sanitation	, what steps is DFID taking to improve its performance , international coherence and donor co-ordination to ensure the replication	slow_JJ and_CC mired_VBN in_IN bureaucracy_NN ._. For_IN the_DT sake_NN of_IN the_DT 2.6_CD billion_CD people_NNS who_WP do_VBP not_RB have_VB access_NN to_IN	water_NN and_CC sanitation_NN	,_, what_WDT steps_NNS is_VBZ DFID_NNP taking_VBG to_TO improve_VB its_PRP$ performance_NN ,_, international_JJ coherence_NN and_CC donor_NN co-ordination_NN to_TO ensure_VB the_DT replication_NN	2007-03-28	con	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=167	229033156	229033158
169	c_1052566	promote the availability of clean drinking water in developing countries . What steps his Department is taking to promote clean	water and sanitation	in the developing world ; and if he will make a statement . We will double our expenditure on water	promote_VB the_DT availability_NN of_IN clean_JJ drinking_NN water_NN in_IN developing_VBG countries_NNS ._. What_WDT steps_NNS his_PRP$ Department_NNP is_VBZ taking_VBG to_TO promote_VB clean_JJ	water_NN and_CC sanitation_NN	in_IN the_DT developing_NN world_NN ;_, and_CC if_IN he_PRP will_MD make_VB a_DT statement_NN ._. We_PRP will_MD double_VB our_PRP$ expenditure_NN on_IN water_NN	2007-05-09	con	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=168	230577696	230577698
170	c_1052567	sanitation in the developing world ; and if he will make a statement . We will double our expenditure on	water and sanitation	in Africa , where the millennium development goal targets are most off - track , to Â £95 million a	sanitation_NN in_IN the_DT developing_NN world_NN ;_, and_CC if_IN he_PRP will_MD make_VB a_DT statement_NN ._. We_PRP will_MD double_VB our_PRP$ expenditure_NN on_IN	water_NN and_CC sanitation_NN	in_IN Africa_NNP ,_, where_WRB the_DT millennium_NN development_NN goal_NN targets_NNS are_VBP most_RBS off_IN -_HYPH track_NN ,_, to_IN Â_$ £95_CD million_CD a_DT	2007-05-09	lab	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=169	230577718	230577720
171	c_1052567	Â£200 million a year by 2010 - 11 . Last November , I published a global call to action on	water and sanitation	. We need both developing country Governments and donors to do more , we need to invest more and to	Â£200_CD million_CD a_DT year_NN by_IN 2010_CD -_SYM 11_CD ._. Last_JJ November_NNP ,_, I_PRP published_VBD a_DT global_JJ call_NN to_IN action_NN on_IN	water_NN and_CC sanitation_NN	._. We_PRP need_VBP both_CC developing_VBG country_NN Governments_NNS and_CC donors_NNS to_TO do_VB more_JJR ,_, we_PRP need_VBP to_TO invest_VB more_JJR and_CC to_TO	2007-05-09	lab	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=170	230577773	230577775
172	c_1052569	poor sanitation in developing countries ? It is a question of funding - there needs to be more funding for	water and sanitation	from the international community , donors , multilateral institutions and the Governments of developing countries themselves - and giving local	poor_JJ sanitation_NN in_IN developing_VBG countries_NNS ?_. It_PRP is_VBZ a_DT question_NN of_IN funding_NN -_, there_EX needs_VBZ to_TO be_VB more_JJR funding_NN for_IN	water_NN and_CC sanitation_NN	from_IN the_DT international_JJ community_NN ,_, donors_NNS ,_, multilateral_JJ institutions_NNS and_CC the_DT Governments_NNS of_IN developing_VBG countries_NNS themselves_PRP -_, and_CC giving_VBG local_JJ	2007-05-09	lab	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=171	230577899	230577901
173	c_1052569	giving local authorities in the growing towns and cities of the developing world the resources that they need to provide	water and sanitation	as their populations increase . It is also about changing cultural attitudes and habits , which is why our support	giving_VBG local_JJ authorities_NNS in_IN the_DT growing_VBG towns_NNS and_CC cities_NNS of_IN the_DT developing_NN world_NN the_DT resources_NNS that_WDT they_PRP need_VBP to_TO provide_VB	water_NN and_CC sanitation_NN	as_IN their_PRP$ populations_NNS increase_VBP ._. It_PRP is_VBZ also_RB about_IN changing_VBG cultural_JJ attitudes_NNS and_CC habits_NNS ,_, which_WDT is_VBZ why_WRB our_PRP$ support_NN	2007-05-09	lab	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=172	230577940	230577942
174	c_1052571	it is prepared to nominate one lead UN body in - country to be the vehicle through which support for	water and sanitation	will be provided , which represents real progress . I assure the hon . Gentleman that we will continue to	it_PRP is_VBZ prepared_VBN to_TO nominate_VB one_CD lead_NN UN_NNP body_NN in_IN -_HYPH country_NN to_TO be_VB the_DT vehicle_NN through_IN which_WDT support_NN for_IN	water_NN and_CC sanitation_NN	will_MD be_VB provided_VBN ,_, which_WDT represents_VBZ real_JJ progress_NN ._. I_PRP assure_VBP the_DT hon_NN ._. Gentleman_NN that_IN we_PRP will_MD continue_VB to_TO	2007-05-09	lab	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=173	230578182	230578184
175	c_1052575	we need all the help that we can get . Above all , the people who do not have clean	water and sanitation	need all the interest and attention that we together can garner so that progress can be made to improve their	we_PRP need_VBP all_PDT the_DT help_NN that_WDT we_PRP can_MD get_VB ._. Above_IN all_DT ,_, the_DT people_NNS who_WP do_VBP not_RB have_VB clean_JJ	water_NN and_CC sanitation_NN	need_VBP all_PDT the_DT interest_NN and_CC attention_NN that_WDT we_PRP together_RB can_MD garner_VB so_IN that_IN progress_NN can_MD be_VB made_VBN to_TO improve_VB their_PRP$	2007-05-09	lab	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=174	230578716	230578718
176	c_1052576	can be made to improve their lives . What is my right hon . Friend doing to improve access to	water and sanitation	in the slums ? Is his Department working with UN - Habitat to examine the upgrading of slums and the	can_MD be_VB made_VBN to_TO improve_VB their_PRP$ lives_NNS ._. What_WP is_VBZ my_PRP$ right_JJ hon_NN ._. Friend_NN doing_VBG to_TO improve_VB access_NN to_IN	water_NN and_CC sanitation_NN	in_IN the_DT slums_NNS ?_. Is_VBZ his_PRP$ Department_NNP working_VBG with_IN UN_NNP -_HYPH Habitat_NNP to_TO examine_VB the_DT upgrading_NN of_IN slums_NNS and_CC the_DT	2007-05-09	lab	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=175	230578753	230578755
177	c_1052577	the end , the most important thing is to give resources to the people who have responsibility for providing clean	water and sanitation	in the urban areas of Africa and Asia . This country history shows that local authorities , as they developed	the_DT end_NN ,_, the_DT most_RBS important_JJ thing_NN is_VBZ to_TO give_VB resources_NNS to_IN the_DT people_NNS who_WP have_VBP responsibility_NN for_IN providing_VBG clean_JJ	water_NN and_CC sanitation_NN	in_IN the_DT urban_JJ areas_NNS of_IN Africa_NNP and_CC Asia_NNP ._. This_DT country_NN history_NN shows_VBZ that_IN local_JJ authorities_NNS ,_, as_IN they_PRP developed_VBD	2007-05-09	lab	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=176	230578835	230578837
178	c_1052580	sanitation . What role does my right hon . Friend think that private water companies can play in ensuring clean	water and sanitation	through charitable work , and what will he do to ensure that our private companies do even more charitable work	sanitation_NN ._. What_WDT role_NN does_VBZ my_PRP$ right_JJ hon_NN ._. Friend_NN think_VBP that_IN private_JJ water_NN companies_NNS can_MD play_VB in_IN ensuring_VBG clean_JJ	water_NN and_CC sanitation_NN	through_IN charitable_JJ work_NN ,_, and_CC what_WP will_MD he_PRP do_VB to_TO ensure_VB that_IN our_PRP$ private_JJ companies_NNS do_VBP even_RB more_RBR charitable_JJ work_NN	2007-05-09	lab	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=177	230579259	230579261
179	c_1052581	even more charitable work overseas ? I welcome the contribution of any organisation that supports charitable work to provide clean	water and sanitation	. On the public - private argument , I welcome what the Select Committee report had to say . In	even_RB more_RBR charitable_JJ work_NN overseas_RB ?_. I_PRP welcome_VBP the_DT contribution_NN of_IN any_DT organisation_NN that_WDT supports_VBZ charitable_JJ work_NN to_TO provide_VB clean_JJ	water_NN and_CC sanitation_NN	._. On_IN the_DT public_JJ -_HYPH private_JJ argument_NN ,_, I_PRP welcome_VBP what_WP the_DT Select_NNP Committee_NNP report_NN had_VBD to_TO say_VB ._. In_IN	2007-05-09	lab	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=178	230579298	230579300
180	c_1052581	public or private ; the issue that we should be interested in is the most effective way of getting clean	water and sanitation	to the largest number of people . I am interested in what works . The Secretary of State must be	public_JJ or_CC private_JJ ;_: the_DT issue_NN that_WDT we_PRP should_MD be_VB interested_JJ in_IN is_VBZ the_DT most_RBS effective_JJ way_NN of_IN getting_VBG clean_JJ	water_NN and_CC sanitation_NN	to_IN the_DT largest_JJS number_NN of_IN people_NNS ._. I_PRP am_VBP interested_JJ in_IN what_WP works_VBZ ._. The_DT Secretary_NNP of_IN State_NNP must_MD be_VB	2007-05-09	lab	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=179	230579352	230579354
181	c_1052583	toilets for them to use . The issue is how we integrate all the approaches to health , education ,	water and sanitation	to ensure the progress that the hon . Gentleman and I both want . What percentage of aid provided by	toilets_NNS for_IN them_PRP to_TO use_VB ._. The_DT issue_NN is_VBZ how_WRB we_PRP integrate_VBP all_PDT the_DT approaches_NNS to_IN health_NN ,_, education_NN ,_,	water_NN and_CC sanitation_NN	to_TO ensure_VB the_DT progress_NN that_WDT the_DT hon_NN ._. Gentleman_NN and_CC I_PRP both_DT want_VBP ._. What_WDT percentage_NN of_IN aid_NN provided_VBN by_IN	2007-05-09	lab	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=180	230579588	230579590
182	c_1057470	misery is present in the area - civil war , too many guns , corrupt government , lack of basic	water and sanitation	, ethnic tensions , famine , refugees in camps , armed militia and problems resulting from climate change . They	misery_NN is_VBZ present_JJ in_IN the_DT area_NN -_HYPH civil_JJ war_NN ,_, too_RB many_JJ guns_NNS ,_, corrupt_JJ government_NN ,_, lack_NN of_IN basic_JJ	water_NN and_CC sanitation_NN	,_, ethnic_JJ tensions_NNS ,_, famine_NN ,_, refugees_NNS in_IN camps_NNS ,_, armed_JJ militia_NN and_CC problems_NNS resulting_VBG from_IN climate_NN change_NN ._. They_PRP	2007-06-05	libdem	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=181	231672999	231673001
183	c_1057498	in the context of the number of people who have died as a result of the lack of provision of	water and sanitation	. Obviously , we are not talking about deliberately inflicted circumstances , but people are dying unnecessarily on a scale	in_IN the_DT context_NN of_IN the_DT number_NN of_IN people_NNS who_WP have_VBP died_VBN as_IN a_DT result_NN of_IN the_DT lack_NN of_IN provision_NN of_IN	water_NN and_CC sanitation_NN	._. Obviously_RB ,_, we_PRP are_VBP not_RB talking_VBG about_IN deliberately_RB inflicted_VBN circumstances_NNS ,_, but_CC people_NNS are_VBP dying_VBG unnecessarily_RB on_IN a_DT scale_NN	2007-06-05	con	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=182	231692289	231692291
184	c_1057498	problem of AIDS . However , to my mind , it is inconceivable that we can give the problem of	water and sanitation	the attention that it requires . I repeat : a child dies every 15 seconds as a result of water	problem_NN of_IN AIDS_NN ._. However_RB ,_, to_IN my_PRP$ mind_NN ,_, it_PRP is_VBZ inconceivable_JJ that_IN we_PRP can_MD give_VB the_DT problem_NN of_IN	water_NN and_CC sanitation_NN	the_DT attention_NN that_WDT it_PRP requires_VBZ ._. I_PRP repeat_VBP :_: a_DT child_NN dies_VBZ every_DT 15_CD seconds_NNS as_IN a_DT result_NN of_IN water_NN	2007-06-05	con	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=183	231692781	231692783
185	c_1057498	to carry water , and 11 per cent . more children attend school when sanitation is available . Improvements to	water and sanitation	are crucial if development interventions are to be effective . New hospitals will remain full and new schools could remain	to_TO carry_VB water_NN ,_, and_CC 11_CD per_NN cent_NN ._. more_JJR children_NNS attend_VBP school_NN when_WRB sanitation_NN is_VBZ available_JJ ._. Improvements_NNS to_IN	water_NN and_CC sanitation_NN	are_VBP crucial_JJ if_IN development_NN interventions_NNS are_VBP to_TO be_VB effective_JJ ._. New_JJ hospitals_NNS will_MD remain_VB full_JJ and_CC new_JJ schools_NNS could_MD remain_VB	2007-06-05	con	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=184	231693392	231693394
186	c_1057498	if development interventions are to be effective . New hospitals will remain full and new schools could remain empty unless	water and sanitation	are included in the bundle of essential services that are given priority nationally . Water and sanitation are also important	if_IN development_NN interventions_NNS are_VBP to_TO be_VB effective_JJ ._. New_JJ hospitals_NNS will_MD remain_VB full_JJ and_CC new_JJ schools_NNS could_MD remain_VB empty_JJ unless_IN	water_NN and_CC sanitation_NN	are_VBP included_VBN in_IN the_DT bundle_NN of_IN essential_JJ services_NNS that_WDT are_VBP given_VBN priority_NN nationally_RB ._. Water_NN and_CC sanitation_NN are_VBP also_RB important_JJ	2007-06-05	con	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=185	231693417	231693419
187	c_1057498	remain empty unless water and sanitation are included in the bundle of essential services that are given priority nationally .	Water and sanitation	are also important to improving the lives and status of women . However , globally , aid to the sector	remain_VB empty_JJ unless_IN water_NN and_CC sanitation_NN are_VBP included_VBN in_IN the_DT bundle_NN of_IN essential_JJ services_NNS that_WDT are_VBP given_VBN priority_NN nationally_RB ._.	Water_NN and_CC sanitation_NN	are_VBP also_RB important_JJ to_IN improving_VBG the_DT lives_NNS and_CC status_NN of_IN women_NNS ._. However_RB ,_, globally_RB ,_, aid_NN to_IN the_DT sector_NN	2007-06-05	con	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=186	231693434	231693436
188	c_1057498	most . Although spending on health and education has doubled since 1990 , the share of global aid spent on	water and sanitation	is contracting . The problem is compounded by the fact that renewable freshwater supplies are running low due to a	most_JJS ._. Although_IN spending_NN on_IN health_NN and_CC education_NN has_VBZ doubled_VBN since_IN 1990_CD ,_, the_DT share_NN of_IN global_JJ aid_NN spent_VBN on_IN	water_NN and_CC sanitation_NN	is_VBZ contracting_VBG ._. The_DT problem_NN is_VBZ compounded_VBN by_IN the_DT fact_NN that_IN renewable_JJ freshwater_NN supplies_NNS are_VBP running_VBG low_JJ due_JJ to_IN a_DT	2007-06-05	con	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=187	231693492	231693494
189	c_1057500	and I am grateful to the hon . Lady for her intervention . It is estimated that the target for	water and sanitation	in the millennium development goals will be met in all regions only if donors and developing country Governments double their	and_CC I_PRP am_VBP grateful_JJ to_IN the_DT hon_NN ._. Lady_NN for_IN her_PRP$ intervention_NN ._. It_PRP is_VBZ estimated_VBN that_IN the_DT target_NN for_IN	water_NN and_CC sanitation_NN	in_IN the_DT millennium_NN development_NN goals_NNS will_MD be_VB met_VBN in_IN all_DT regions_NNS only_RB if_IN donors_NNS and_CC developing_VBG country_NN Governments_NNS double_VBP their_PRP$	2007-06-05	con	2007	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=188	231693825	231693827
